Equation 1,Equation 2,Value of X,Value of Y
17x + 19y = 157,7x + 2y = 53,7,2
4x + 14y = 128,8x + 19y = 184,4,8
3x - 6y = -48,19x + 7y = 326,12,14
x + 18y = 98,16x + y = 133,8,5
16x - 13y = 79,2x + 19y = 113,9,5
19x + 2y = 173,5x + 8y = 53,9,1
7x + 3y = 44,17x + 19y = 142,5,3
6x + 5y = 44,18x + 17y = 140,4,4
15x + y = 157,20x + 11y = 277,10,7
17x + 16y = 163,20x + y = 67,3,7
20x - 12y = -40,7x + 11y = 214,7,15
12x + 18y = 24,17x + 10y = 158,14,-8
7x + 13y = 166,8x + 6y = 110,7,9
20x + 20y = 40,14x + 2y = 52,4,-2
2x + 3y = 5,12x + 11y = 65,10,-5
6x + 20y = -64,12x + 4y = 52,6,-5
9x - 11y = -79,13x + 7y = 69,1,8
19x + 18y = 314,16x + 11y = 227,8,9
18x + 9y = 90,19x + 2y = 35,1,8
8x + 11y = 96,7x + 20y = 167,1,8
11x + 8y = 91,20x + 11y = 130,1,10
17x + 5y = 105,15x + 14y = 131,5,4
17x + 12y = 118,15x + 11y = 107,2,7
2x - 3y = -29,4x + 18y = 302,8,15
8x + 11y = 8,10x + 15y = 0,12,-8
5x + 19y = 191,14x + 15y = 191,4,9
6x + 16y = -10,20x + 5y = 160,9,-4
3x - 17y = -24,14x + 11y = 159,9,3
5x - 17y = -53,3x + 16y = 73,3,4
13x + 7y = 16,13x + 9y = 2,5,-7
20x + 20y = 60,7x + 17y = 31,2,1
11x + y = 89,3x + 3y = 27,8,1
4x + 18y = -46,17x + 15y = 112,11,-5
x + 11y = 32,x + 18y = 46,10,2
5x - 9y = -17,15x + 9y = 237,11,8
2x - 15y = -64,14x + 10y = 242,13,6
10x + 19y = 181,20x + 19y = 191,1,9
8x + 13y = 184,x + 20y = 170,10,8
20x + 15y = 40,19x + 20y = -8,8,-8
12x + 6y = 120,13x + 20y = 238,6,8
13x + 8y = 137,6x + 13y = 147,5,9
12x + y = 121,11x + y = 111,10,1
9x + 15y = -93,19x + 11y = -31,3,-8
6x - 2y = 18,11x + 10y = 238,8,15
20x - 2y = 200,14x + 7y = 224,11,10
8x + 2y = 34,6x + 5y = 57,2,9
18x + 14y = 68,20x + 4y = 64,3,1
12x + 20y = 96,3x + 4y = 21,3,3
3x - 2y = 28,3x + 8y = 98,14,7
6x + 14y = -60,10x + 7y = 47,11,-9
18x + 8y = -46,14x + 11y = -74,1,-8
15x + 8y = 152,18x + 8y = 176,8,4
20x + 2y = 66,14x + 13y = -35,4,-7
11x + 6y = 115,9x + 4y = 95,11,-1
12x + 7y = 138,18x + 11y = 204,15,-6
12x + 20y = 172,x + 11y = 89,1,8
11x + 2y = 112,3x + 4y = -4,12,-10
10x - 13y = -175,20x + 15y = 265,2,15
12x - 16y = -112,19x + 15y = 347,8,13
15x + 19y = 246,2x + 10y = 100,5,9
x + 12y = 28,3x + 6y = 24,4,2
4x + 12y = -80,19x + 12y = 25,7,-9
3x + 8y = 79,20x + 20y = 260,5,8
2x - 17y = -15,10x + 11y = 21,1,1
18x - 6y = 216,20x + 18y = 388,14,6
5x + 18y = 59,7x + 16y = 55,1,3
19x + 19y = 342,8x + 16y = 224,8,10
2x + 5y = 51,3x + 16y = 153,3,9
2x + 12y = 112,19x + 5y = 83,2,9
17x - 13y = 49,12x + 5y = 148,9,8
13x + 2y = 16,12x + 5y = -1,2,-5
15x + 13y = 116,14x + 14y = 112,6,2
5x + 14y = -52,6x + 4y = 40,12,-8
4x + 14y = -24,13x + 3y = 7,1,-2
14x + 17y = 296,11x + y = 109,9,10
17x - 2y = 71,11x + 19y = 188,5,7
3x + 5y = -5,17x + 17y = 85,15,-10
6x + 2y = 82,16x + 17y = 172,15,-4
16x - 6y = 26,14x + 7y = 133,5,9
10x + 9y = 161,4x + 4y = 68,8,9
15x + 19y = 94,x + y = 6,5,1
11x + 6y = 96,9x + 7y = 89,6,5
15x + 8y = 153,17x + 3y = 137,7,6
20x - 8y = 80,7x + 11y = 97,6,5
13x - 2y = 55,8x + 18y = 130,5,5
10x + 18y = 22,16x + 17y = 106,13,-6
14x - 6y = 70,17x + 14y = 234,8,7
11x - 6y = 35,7x + 11y = 126,7,7
6x + 18y = 126,11x + 20y = 179,9,4
5x + 12y = -10,10x + 11y = 45,10,-5
12x + 16y = 116,9x + 20y = 55,15,-4
14x + 17y = 166,15x + 6y = 129,7,4
6x + 5y = 100,18x + 6y = 228,10,8
x + 8y = 81,6x + 19y = 196,1,10
7x + 19y = 213,15x + 10y = 180,6,9
17x + 18y = 190,9x + 14y = 114,8,3
6x - 11y = -76,14x + 2y = 44,2,8
11x + 5y = 145,8x + 9y = 84,15,-4
19x + 5y = 186,9x + 19y = 138,9,3
15x - 6y = 18,20x + 7y = 54,2,2
x + 20y = 102,11x + y = 27,2,5
20x - 7y = 75,18x + 14y = 372,9,15
11x - 12y = -25,15x + 16y = 419,13,14
20x + 5y = 150,18x + 8y = 170,5,10
17x + 4y = 213,15x + 3y = 189,13,-2
13x + 4y = 191,11x + 19y = 146,15,-1
5x + 5y = -10,4x + 19y = -143,7,-9
8x + 7y = 65,16x + 12y = 116,2,7
10x + 19y = 106,18x + 2y = 62,3,4
10x + 3y = 115,7x + 17y = 6,13,-5
17x + y = 155,13x + 8y = 133,9,2
3x + 19y = 125,3x + 17y = 115,10,5
15x + 7y = 148,3x + 12y = 72,8,4
12x - 16y = 88,9x + 2y = 94,10,2
6x - 14y = -162,13x + 9y = 239,8,15
10x + 19y = 174,18x + 8y = 156,6,6
18x + 2y = 210,17x + 11y = 171,12,-3
14x + 5y = 52,17x + 14y = 79,3,2
20x + 4y = 228,13x + 18y = 102,12,-3
10x + 2y = -2,18x + 17y = -84,1,-6
16x + 15y = -25,5x + 18y = -101,5,-7
10x + 18y = 50,17x + 12y = 178,14,-5
17x + 9y = 163,15x + 20y = 180,8,3
11x + 20y = 95,9x + 4y = 53,5,2
4x + 20y = 196,6x + 18y = 198,9,8
11x + 12y = 149,8x + 9y = 110,7,6
3x + 9y = 45,9x + 19y = 103,3,4
11x + 4y = 4,18x + 18y = -108,4,-10
6x + 5y = 60,18x + 17y = 192,5,6
2x + 18y = -164,8x + 9y = -26,8,-10
3x - 11y = -104,20x + 3y = 299,13,13
13x - 10y = 159,5x + 18y = 83,13,1
19x + 4y = 23,11x + 19y = 30,1,1
16x + 20y = 76,x + 13y = 40,1,3
14x - 6y = 204,4x + 16y = 76,15,1
7x + 18y = 5,7x + 11y = 33,11,-4
3x + 6y = 57,19x + 7y = 113,3,8
7x + 20y = 196,8x + 6y = 106,8,7
2x + 15y = -59,18x + 12y = 84,8,-5
13x - 9y = 142,18x + 15y = 279,13,3
20x - 13y = 111,19x + 13y = 435,14,13
9x + 9y = 126,6x + 3y = 72,10,4
4x + 2y = 20,19x + 18y = 112,4,2
17x + 9y = 142,19x + 9y = 164,11,-5
12x + 4y = 104,18x + 12y = 186,7,5
18x + 17y = 173,14x + 14y = 140,3,7
11x + 4y = 101,8x + 15y = 13,11,-5
7x + 20y = 48,3x + 16y = 28,4,1
16x + 10y = 150,20x + 8y = 192,10,-1
10x + 8y = 132,20x + 18y = 282,6,9
3x + 13y = 97,9x + 8y = 74,2,7
8x + 4y = 44,2x + y = 11,2,7
10x + 5y = 130,10x + 8y = 124,14,-2
6x + 17y = -14,8x + 14y = 16,9,-4
8x + 15y = 109,18x + 3y = 153,8,3
3x - 8y = -88,2x + 12y = 184,8,14
4x + 10y = -76,8x + 18y = -136,1,-8
19x + 20y = 78,10x + 3y = 26,2,2
2x - 7y = -13,18x + 2y = 208,11,5
17x - 12y = -49,10x + 19y = 336,7,14
10x + 10y = 110,8x + 7y = 84,7,4
9x + 15y = -96,7x + 17y = -128,6,-10
8x + 3y = 93,17x + 8y = 183,15,-9
x + 6y = 18,15x + 5y = 100,6,2
6x - 15y = -126,19x + 6y = 136,4,10
5x + 20y = 75,x + 17y = 54,3,3
13x + 4y = 33,4x + 20y = 104,1,5
18x - 9y = -72,5x + 9y = 118,2,12
4x + 2y = 20,16x + 8y = 80,2,6
15x + 9y = 216,5x + 4y = 81,9,9
18x + 6y = 66,10x + 11y = 98,1,8
14x + 10y = 34,5x + 19y = 43,1,2
3x + 14y = 161,2x + 11y = 124,7,10
x + 14y = 132,12x + 12y = 180,6,9
18x + 16y = 124,7x + 13y = 55,6,1
18x + 12y = 30,x + 3y = 4,1,1
12x + 4y = 152,8x + 15y = 15,15,-7
17x + 4y = 206,10x + 11y = 199,10,9
9x + 19y = 83,10x + 13y = 76,5,2
13x + 5y = 53,11x + 17y = 147,1,8
18x + 10y = -14,20x + 18y = -50,2,-5
3x + 15y = 96,15x + 10y = 155,7,5
3x - 6y = -12,14x + 19y = 179,6,5
20x + 20y = 120,4x + y = 9,1,5
2x + 9y = 72,13x + 20y = 237,9,6
14x - 14y = 98,20x + 17y = 288,11,4
2x + y = 17,11x + 7y = 104,5,7
9x + 6y = 126,2x + 17y = 122,10,6
15x - 5y = 70,11x + 15y = 238,8,10
11x + 7y = 78,12x + 7y = 87,9,-3
4x + 5y = 75,17x + 11y = 247,10,7
2x - 3y = -16,14x + 6y = 266,13,14
12x + 14y = 144,x + 5y = 35,5,6
8x + 15y = 122,17x + 3y = 86,4,6
7x - 10y = 32,19x + 15y = 129,6,1
12x + 11y = 175,19x + 14y = 260,10,5
13x + 5y = 42,17x + 14y = 40,4,-2
14x - 17y = -86,7x + 14y = 182,6,10
10x + 2y = 70,11x + 5y = 63,8,-5
12x + 20y = 188,10x + 8y = 96,4,7
5x + 11y = 67,2x + 12y = 42,9,2
2x - 8y = -52,16x + 4y = 264,14,10
16x + 19y = 189,17x + 13y = 208,13,-1
17x - 9y = -65,10x + 3y = 53,2,11
17x + 16y = 165,2x + 12y = 70,5,5
13x - 11y = 59,8x + 11y = 214,13,10
5x - 18y = -151,2x + 20y = 266,13,12
12x + 9y = 51,5x + 12y = 46,2,3
20x + 16y = 280,6x + 14y = 176,6,10
19x + 3y = 130,11x + 7y = 70,7,-1
15x - 17y = 63,16x + 19y = 290,11,6
19x + 2y = 58,7x + 10y = 114,2,10
19x + 9y = 47,4x + 16y = 24,2,1
x + 3y = 9,6x + 17y = 53,6,1
18x + 13y = 124,10x + 3y = 52,4,4
3x + 3y = 21,18x + 13y = 111,4,3
11x - 6y = 34,13x + 10y = 194,8,9
2x + 9y = 55,3x + 14y = 85,5,5
17x - 18y = -183,2x + 8y = 110,3,13
x + 7y = 62,14x + 14y = 196,6,8
5x - 12y = -76,10x + 16y = 168,4,8
16x + 15y = 280,12x + 5y = 160,10,8
15x + 15y = 195,4x + 8y = 80,6,7
10x + 16y = 132,4x + 7y = 54,10,2
9x + 7y = 53,19x + 19y = 133,2,5
3x + 19y = 208,10x + 5y = 110,6,10
4x + 7y = 48,3x + 12y = 63,5,4
8x + 11y = 103,9x + 17y = 139,6,5
8x + 2y = 24,18x + 15y = 138,1,8
5x - 14y = -146,9x + 18y = 342,10,14
12x + 11y = -9,12x + 18y = -30,2,-3
20x + 16y = 196,x + 2y = 11,9,1
10x + 2y = 134,5x + 6y = 27,15,-8
17x - 12y = 49,3x + 8y = 39,5,3
12x + 13y = 8,11x + 14y = -1,5,-4
10x + 15y = -90,7x + 7y = -28,6,-10
19x + 20y = 155,13x + y = 68,5,3
19x + 5y = 4,8x + 12y = -28,1,-3
18x + 20y = 156,14x + 2y = 162,12,-3
17x + 2y = 155,2x + 15y = 33,9,1
10x + 20y = 70,5x + 20y = 65,1,3
8x - 9y = -7,9x + 2y = 77,7,7
19x - 11y = 189,18x + 7y = 301,14,7
2x + 12y = 90,13x + 19y = 231,9,6
7x + 7y = 63,16x + 5y = 89,4,5
2x + 19y = 153,5x + 12y = 134,10,7
10x + 3y = 87,7x + 3y = 69,6,9
9x + 6y = -9,15x + 19y = -96,5,-9
10x + 13y = 210,2x + 14y = 156,8,10
2x - 16y = -120,18x + 16y = 200,4,8
13x + 14y = 101,14x + 15y = 109,11,-3
2x + 12y = -82,4x + 8y = -52,1,-7
8x - 6y = 82,17x + 16y = 318,14,5
20x + 16y = 72,3x + 16y = 38,2,2
15x + 18y = 189,13x + 10y = 147,9,3
12x - 17y = -132,4x + 12y = 168,6,12
2x + 7y = 36,16x + 9y = 100,4,4
8x + 9y = 130,12x + 3y = 90,5,10
11x - 10y = 55,6x + 15y = 255,15,11
7x + 7y = 63,10x + 16y = 126,3,6
4x + 5y = 28,6x + 4y = 28,2,4
8x + 3y = 91,8x + 9y = 49,14,-7
10x + 7y = 67,11x + 19y = -28,13,-9
13x - 6y = 58,9x + 2y = 114,10,12
14x + 11y = 106,2x + 4y = 20,6,2
6x + 6y = 90,4x + 19y = 210,5,10
10x - 7y = 27,19x + 18y = 333,9,9
3x + 18y = 105,6x + 2y = 40,5,5
4x + 13y = 1,12x + 10y = 90,10,-3
15x + 11y = 78,18x + 12y = 90,3,3
3x + 8y = -1,7x + 4y = 71,13,-5
10x + 17y = 22,14x + 8y = 94,9,-4
15x - 10y = 105,14x + 13y = 165,9,3
14x - 15y = 16,2x + 5y = 88,14,12
13x + 10y = 17,19x + 13y = 41,9,-10
15x + 18y = 174,11x + 17y = 139,8,3
2x + 9y = 44,15x + 16y = 124,4,4
9x + y = 94,5x + 11y = 94,10,4
15x + 15y = 120,12x + 19y = 117,5,3
8x - 7y = 48,2x + 10y = 106,13,8
7x + 2y = 59,12x + 19y = 179,7,5
19x - 7y = 134,20x + 18y = 344,10,8
10x + 9y = 37,10x + 14y = 2,10,-7
6x + 3y = 66,14x + 16y = 100,14,-6
3x + 14y = 142,2x + 2y = 36,10,8
12x + 20y = 264,4x + 10y = 118,7,9
15x + 13y = 73,9x + 5y = 41,4,1
18x - 10y = 172,9x + 20y = 286,14,8
3x + 10y = 99,2x + 6y = 60,3,9
20x + 9y = 186,13x + 16y = 60,12,-6
7x + 15y = 198,14x + 7y = 189,9,9
8x + 15y = -37,18x + 19y = -39,1,-3
13x + 12y = 8,5x + 14y = -72,8,-8
15x + 13y = -22,10x + 8y = -12,2,-4
10x + 8y = -8,11x + 11y = -22,4,-6
20x + 19y = 371,17x + y = 179,10,9
17x + 5y = 156,5x + 11y = 84,8,4
15x + 5y = 120,7x + 12y = 85,7,3
7x + 9y = 34,18x + 14y = 124,10,-4
16x + 6y = 80,7x + 10y = -24,8,-8
20x + 7y = 221,14x + 4y = 152,10,3
4x + 20y = 208,2x + 17y = 167,7,9
20x - 8y = 32,14x + 4y = 32,2,1
2x + 13y = -110,5x + 13y = -80,10,-10
17x + 10y = -46,5x + 5y = -30,2,-8
7x - 3y = 82,19x + 8y = 271,13,3
20x - 12y = 52,7x + 11y = 155,8,9
11x + 15y = 105,7x + 20y = 25,15,-4
14x + 5y = 160,8x + 6y = 60,15,-10
20x + 16y = -84,16x + 17y = -105,3,-9
11x + 12y = 196,6x + 13y = 165,8,9
13x + y = 80,x + 20y = 46,6,2
19x + 18y = 189,17x + 13y = 166,9,1
9x + 15y = 189,19x + 5y = 159,6,9
4x + 6y = 52,4x + 6y = 52,7,4
15x + 18y = -33,12x + 3y = 42,5,-6
7x + 3y = 68,11x + 5y = 108,8,4
13x + 17y = 82,19x + 15y = 110,5,1
9x + 9y = 108,7x + 8y = 92,4,8
12x + 6y = 108,2x + 17y = 50,8,2
12x + 6y = 96,6x + 9y = 72,6,4
2x - 3y = -2,6x + 18y = 210,11,8
13x + 16y = 74,16x + 3y = 41,2,3
20x - 11y = 108,19x + 11y = 360,12,12
15x + 5y = 160,12x + 7y = 143,9,5
6x - 16y = -44,16x + 3y = 111,6,5
8x + 8y = 104,10x + 9y = 126,9,4
16x + 9y = 68,20x + 18y = 112,2,4
4x - 11y = -157,19x + 19y = 323,2,15
5x + 13y = 129,14x + 8y = 134,5,8
8x + 2y = 56,14x + 14y = 56,8,-4
9x + 18y = 189,12x + 6y = 72,1,10
14x + y = 143,18x + 14y = 222,10,3
3x - 15y = -78,6x + 16y = 212,14,8
17x + 11y = 225,16x + 17y = 245,10,5
16x + 5y = 111,14x + 8y = 108,6,3
11x - 15y = -41,2x + 20y = 288,14,13
15x + 12y = 168,4x + 9y = 68,8,4
13x - 9y = 97,15x + 11y = 283,13,8
4x + 5y = 52,12x + 14y = 152,8,4
19x + 2y = 94,2x + 11y = 107,4,9
4x + 9y = 38,2x + 17y = -6,14,-2
2x - 14y = -140,2x + 5y = 69,7,11
16x - 7y = -9,14x + 16y = 324,6,15
4x + 4y = 36,16x + 20y = 164,4,5
9x - 11y = -101,18x + 17y = 188,1,10
20x + 5y = -25,7x + 5y = -38,1,-9
19x - 3y = 86,15x + 3y = 84,5,3
14x + 13y = 95,11x + 17y = 95,4,3
18x + 13y = 220,20x + 8y = 180,5,10
8x + 6y = 82,11x + 6y = 106,8,3
13x - 18y = -94,3x + 3y = 57,8,11
2x + 7y = 18,20x + 17y = 74,2,2
11x - 17y = -41,10x + 13y = 105,4,5
4x + 17y = -71,7x + 8y = 28,12,-7
12x - 8y = 56,14x + 19y = 207,8,5
4x + 4y = 20,4x + 6y = 28,1,4
17x - 7y = 117,13x + 5y = 193,11,10
12x - 12y = 0,7x + 18y = 175,7,7
15x + 13y = 228,17x + 14y = 254,10,6
4x + 16y = 112,16x + 13y = 142,4,6
2x + 15y = -119,2x + 13y = -101,8,-9
6x + 5y = 43,17x + 7y = 86,3,5
19x - 4y = 226,19x + 20y = 466,14,10
14x - 3y = -8,3x + 15y = 186,2,12
17x + 7y = 219,20x + 11y = 277,10,7
7x + 8y = 150,18x + 20y = 380,10,10
16x + 9y = 175,5x + 14y = 133,7,7
9x - 16y = 8,9x + 6y = 96,8,4
8x + 19y = 73,x + 13y = 41,2,3
18x - 14y = -84,8x + 3y = 101,7,15
x + 15y = 153,6x + 19y = 208,3,10
20x - 13y = 202,14x + 7y = 238,14,6
6x - 18y = -120,8x + 12y = 92,1,7
15x - 4y = -11,2x + 8y = 118,3,14
13x + 18y = 165,16x + 19y = 181,3,7
10x + 9y = 22,3x + 2y = 8,4,-2
12x + 19y = 260,19x + 13y = 275,9,8
10x + 12y = 114,6x + 19y = 92,9,2
12x + 2y = 42,16x + 9y = 113,2,9
3x + 10y = -2,18x + 2y = 104,6,-2
7x + 16y = 214,8x + 15y = 215,10,9
3x - 9y = -24,7x + 13y = 46,1,3
x + 13y = 82,7x + 17y = 130,4,6
4x + 19y = 199,20x + 17y = 293,7,9
7x + 9y = 69,15x + 10y = 185,15,-4
18x + y = 24,14x + 18y = 122,1,6
5x + 7y = 37,15x + 17y = 127,13,-4
2x - 8y = -82,14x + 6y = 108,3,11
15x + 8y = 187,10x + 4y = 126,13,-1
5x + y = 17,12x + 11y = 58,3,2
19x + 2y = 94,9x + 6y = 90,4,9
3x + 19y = 49,3x + 9y = 39,10,1
5x - 8y = -15,13x + 20y = 165,5,5
11x + 12y = -63,9x + 16y = -101,3,-8
16x - 18y = -126,16x + 2y = 174,9,15
10x + 12y = -6,8x + 4y = 12,3,-3
4x + 9y = 98,8x + 8y = 96,2,10
4x + 14y = -100,18x + 11y = -34,3,-8
15x + 3y = 18,6x + 10y = 16,1,1
14x + 15y = 77,18x + 3y = 213,13,-7
10x + y = 90,13x + 7y = 174,8,10
16x + 12y = 52,10x + 11y = 1,10,-9
4x + 9y = 26,11x + 15y = 91,11,-2
20x + 19y = 352,7x + 2y = 86,10,8
20x - 4y = 160,9x + 18y = 171,9,5
16x + 20y = -64,4x + 17y = -112,6,-8
16x + 15y = 262,8x + 3y = 86,7,10
17x - 11y = 12,5x + 3y = 16,2,2
17x + 17y = 136,5x + 6y = 46,2,6
8x + 7y = 74,9x + 8y = 84,4,6
14x - 6y = 54,11x + 9y = 111,6,5
16x + 5y = 162,15x + 17y = 275,7,10
7x + 15y = 213,6x + 9y = 144,9,10
10x + 9y = 145,8x + 14y = 150,10,5
18x + 3y = 57,13x + 18y = 152,2,7
16x + 4y = 84,x + 5y = 10,5,1
7x + 6y = 65,2x + 18y = 100,5,5
12x + 7y = 145,2x + 17y = -55,15,-5
19x + 14y = -36,15x + 10y = -20,4,-8
13x + 20y = 77,9x + 17y = 47,9,-2
13x - 11y = -128,4x + 19y = 274,2,14
18x - 9y = -54,10x + 7y = 90,2,10
10x + 11y = 96,8x + 12y = 96,3,6
18x + 16y = 180,4x + 10y = 98,2,9
18x + 11y = 203,14x + 20y = 238,7,7
3x + 16y = 79,20x + 18y = 172,5,4
6x + 18y = -102,5x + 17y = -101,7,-8
4x + 16y = -96,16x + 12y = 84,12,-9
14x + 17y = -111,8x + 15y = -111,3,-9
10x + 6y = 4,7x + 3y = 4,1,-1
18x + 18y = 90,7x + 15y = 11,8,-3
5x + 12y = -38,18x + 3y = 24,2,-4
7x + 11y = 32,x + 12y = 15,3,1
19x - 9y = 45,4x + 14y = 232,9,14
5x + 10y = -40,9x + 7y = -6,4,-6
12x + 3y = 39,20x + 2y = 50,2,5
4x + 18y = 98,17x + 2y = 44,2,5
14x - 2y = 136,6x + 14y = 192,11,9
8x - 13y = -39,9x + 7y = 194,13,11
20x + 13y = 99,8x + 19y = 81,3,3
3x + y = 4,16x + 2y = 18,1,1
20x - 8y = 140,8x + 2y = 82,9,5
18x + 15y = 111,x + 18y = 92,2,5
13x + 11y = 131,5x + 2y = 37,5,6
6x + 6y = 96,17x + y = 176,10,6
6x + 7y = 117,6x + 17y = 207,9,9
11x + 15y = 185,5x + 5y = 75,10,5
13x - 10y = 92,11x + 15y = 289,14,9
20x - 13y = 163,10x + 5y = 185,14,9
15x + 2y = 51,12x + 8y = 60,3,3
3x + 4y = -1,6x + 15y = -72,13,-10
6x - 18y = -222,3x + 4y = 84,8,15
11x + 8y = 94,20x + y = 49,2,9
3x + 4y = 5,6x + 20y = -38,7,-4
10x - 4y = -40,10x + 15y = 245,2,15
15x - 6y = 27,15x + 2y = 51,3,3
5x - 7y = 5,8x + 17y = 149,8,5
6x + 7y = 78,14x + 18y = 192,6,6
18x + 9y = 126,20x + 14y = 148,6,2
6x + 4y = 54,16x + 14y = 164,5,6
11x + y = 103,16x + 6y = 168,9,4
18x - 5y = 125,8x + 17y = 267,10,11
9x + 7y = 86,17x + y = 138,8,2
6x + 20y = 176,3x + 9y = 81,6,7
15x + 11y = 156,7x + 14y = 126,6,6
19x + 8y = 104,20x + 3y = 142,8,-6
18x + 13y = 119,8x + 14y = 94,3,5
8x - 12y = -52,11x + 5y = 36,1,5
14x + 3y = 150,4x + 13y = 140,9,8
10x + 6y = 154,6x + 10y = 150,10,9
2x + 15y = 126,5x + 9y = 87,3,8
7x - 3y = 43,14x + 10y = 118,7,2
6x + y = 54,11x + 13y = 166,8,6
5x + 11y = 62,18x + 9y = 162,8,2
13x - 10y = 5,3x + 7y = 57,5,6
9x + 15y = -42,2x + 20y = -126,7,-7
5x + 5y = 70,5x + 19y = 182,6,8
9x - 4y = 44,6x + 3y = 69,8,7
16x + 19y = 54,18x + 2y = 22,1,2
16x + 7y = 99,20x + y = 85,4,5
16x - 3y = 66,20x + 10y = 220,6,10
18x - 14y = -30,14x + 18y = 150,3,6
10x + 5y = 60,14x + 11y = 108,3,6
19x + 7y = 204,4x + 8y = 56,10,2
17x + 6y = -7,12x + 20y = -68,1,-4
9x + 3y = 78,19x + 16y = 184,8,2
3x - 15y = -57,13x + 12y = 61,1,4
14x + 19y = 184,3x + 3y = 33,5,6
9x + 18y = 162,8x + 11y = 104,2,8
20x + 5y = 25,12x + 13y = 25,1,1
7x - 9y = -12,9x + 11y = 278,15,13
18x + 13y = 168,8x + 19y = 154,5,6
3x + 14y = -13,15x + 20y = 35,5,-2
14x - 7y = -49,15x + 20y = 360,4,15
20x + 20y = 140,7x + 5y = 37,1,6
15x + 6y = 27,20x + 14y = 48,1,2
2x + 4y = 34,8x + 10y = 100,5,6
13x - 7y = 154,13x + 14y = 238,14,4
6x + 20y = -96,4x + 20y = -124,14,-9
14x - 17y = 77,14x + 13y = 287,14,7
15x + 16y = 74,9x + 7y = 47,6,-1
10x - 15y = -30,7x + 15y = 132,6,6
4x + 2y = 10,2x + 6y = 20,1,3
14x - 8y = 14,13x + 17y = 355,9,14
6x - 6y = 6,6x + 10y = 70,5,4
14x + 5y = 76,15x + 17y = -35,9,-10
6x + 14y = -52,15x + 13y = 46,10,-8
19x - 6y = 231,17x + 5y = 300,15,9
9x - 5y = -37,19x + 11y = 159,2,11
17x - 13y = 208,12x + 7y = 163,13,1
14x + 12y = 204,19x + 17y = 284,6,10
18x + 6y = 204,12x + 14y = 206,9,7
7x + 10y = 103,9x + 18y = 153,9,4
7x + 15y = -70,2x + 11y = -67,5,-7
18x + 7y = 23,2x + 11y = -69,4,-7
8x + 3y = 68,11x + 13y = 129,7,4
8x + 3y = 13,9x + 20y = -2,2,-1
14x + 12y = 20,17x + 12y = 50,10,-10
8x + 3y = 101,6x + 3y = 75,13,-1
13x + 4y = 62,6x + 12y = 120,2,9
6x + 18y = 78,11x + 2y = 50,4,3
10x - 3y = -9,5x + 2y = 41,3,13
17x + 11y = 145,7x + 5y = 63,4,7
8x - 16y = -128,15x + 11y = 252,8,12
10x + 6y = 82,18x + 12y = 138,13,-8
18x + 4y = 176,15x + 8y = 142,10,-1
11x + 7y = 127,9x + 3y = 93,9,4
15x + 8y = 29,12x + 5y = 26,3,-2
10x + 15y = 105,6x + 15y = 93,3,5
19x + 20y = 216,5x + 11y = 97,4,7
2x + 16y = -44,7x + 10y = -16,2,-3
17x - 14y = 28,11x + 2y = 184,14,15
9x - 15y = -36,19x + 12y = 55,1,3
16x - 6y = -8,15x + 3y = 96,4,12
4x - 2y = 14,20x + 9y = 355,11,15
19x - 11y = 62,18x + 8y = 114,5,3
18x + 16y = -110,6x + 12y = -90,1,-8
12x + 8y = 128,20x + 2y = 202,10,1
9x + 15y = 111,10x + 12y = 100,4,5
18x + 8y = 86,18x + 6y = 96,7,-5
15x + 5y = 120,11x + 10y = 69,9,-3
14x + 19y = 183,10x + 15y = 135,9,3
13x + 14y = 158,14x + 4y = 148,10,2
6x + 11y = 86,2x + 19y = 90,7,4
5x + 17y = 115,9x + 6y = 84,6,5
10x + 11y = 159,8x + y = 57,6,9
18x + 2y = 52,20x + 8y = 52,3,-1
2x + 16y = -104,14x + 13y = 64,12,-8
17x + 10y = 185,14x + 4y = 182,15,-7
19x - 9y = -42,6x + 15y = 183,3,11
16x - 9y = 91,17x + 7y = 312,13,13
5x + 3y = 21,11x + 6y = 48,6,-3
15x + 5y = 145,8x + 9y = 52,11,-4
19x + 15y = 287,11x + 17y = 241,8,9
4x - 16y = -220,14x + 15y = 224,1,14
10x + 5y = 20,20x + 3y = 26,1,2
5x - 3y = -7,10x + 19y = 86,1,4
2x + 13y = -80,4x + 9y = -24,12,-8
5x + 5y = 60,15x + 19y = 200,7,5
x + 17y = 76,9x + 7y = 100,8,4
7x - 2y = 74,19x + 9y = 374,14,12
13x - 17y = 105,12x + 20y = 204,12,3
9x + 17y = -98,10x + 15y = -70,8,-10
11x + 19y = 205,10x + 19y = 195,10,5
19x + 20y = 295,12x + 6y = 120,5,10
20x + 19y = 216,18x + 7y = 154,7,4
7x + 12y = 62,9x + 19y = 94,2,4
11x + 8y = -39,8x + 11y = -75,3,-9
16x + 10y = 150,4x + 10y = -30,15,-9
12x + 6y = 24,9x + 2y = 38,6,-8
6x + 15y = 123,4x + 15y = 117,3,7
10x + 4y = 28,20x + 18y = -24,6,-8
6x + 17y = 177,4x + 10y = 106,4,9
11x + 20y = 213,2x + 4y = 42,3,9
8x + 4y = 40,10x + 10y = 80,2,6
15x + 8y = 79,6x + 8y = 70,1,8
11x - 10y = 44,2x + 14y = 182,14,11
14x - 17y = -128,16x + 7y = 118,3,10
